Sector,Year,FDI(₹ Crores),FDI(US$ Million)
METALLURGICAL INDUSTRIES,2000-01,103.65,22.69
MINING,2000-01,6.03,1.32
POWER,2000-01,408.47,89.42
NON-CONVENTIONAL ENERGY,2000-01,0.0,0.0
COAL PRODUCTION,2000-01,0.0,0.0
PETROLEUM & NATURAL GAS,2000-01,42.71,9.35
BOILERS AND STEAM GENERATING PLANTS,2000-01,0.0,0.0
PRIME MOVER (OTHER THAN ELECTRICAL GENERATORS),2000-01,0.0,0.0
ELECTRICAL EQUIPMENTS,2000-01,364.34,79.76
COMPUTER SOFTWARE & HARDWARE,2000-01,1043.29,228.39
ELECTRONICS,2000-01,38.1,8.34
TELECOMMUNICATIONS,2000-01,811.69,177.69
INFORMATION & BROADCASTING (INCLUDING PRINT MEDIA),2000-01,372.29,81.5
AUTOMOBILE INDUSTRY,2000-01,892.27,195.33
AIR TRANSPORT (INCLUDING AIR FREIGHT),2000-01,0.0,0.0
SEA TRANSPORT,2000-01,11.01,2.41
PORTS,2000-01,0.0,0.0
RAILWAY RELATED COMPONENTS,2000-01,0.0,0.0
INDUSTRIAL MACHINERY,2000-01,25.03,5.48
MACHINE TOOLS,2000-01,6.49,1.42
AGRICULTURAL MACHINERY,2000-01,16.63,3.64
EARTH-MOVING MACHINERY,2000-01,0.0,0.0
MISCELLANEOUS MECHANICAL & ENGINEERING INDUSTRIES,2000-01,203.28,44.5
"COMMERCIAL, OFFICE & HOUSEHOLD EQUIPMENTS",2000-01,55.73,12.2
MEDICAL AND SURGICAL APPLIANCES,2000-01,24.76,5.42
INDUSTRIAL INSTRUMENTS,2000-01,4.61,1.01
SCIENTIFIC INSTRUMENTS,2000-01,36.86,8.07
"MATHEMATICAL,SURVEYING AND DRAWING INSTRUMENTS",2000-01,0.0,0.0
FERTILIZERS,2000-01,0.0,0.0
CHEMICALS (OTHER THAN FERTILIZERS),2000-01,507.69,111.14
PHOTOGRAPHIC RAW FILM AND PAPER,2000-01,0.0,0.0
DYE-STUFFS,2000-01,4.8,1.05
DRUGS & PHARMACEUTICALS,2000-01,164.17,35.94
"TEXTILES (INCLUDING DYED,PRINTED)",2000-01,9.41,2.06
PAPER AND PULP (INCLUDING PAPER PRODUCTS),2000-01,274.26,60.04
SUGAR,2000-01,0.0,0.0
FERMENTATION INDUSTRIES,2000-01,73.18,16.02
FOOD PROCESSING INDUSTRIES,2000-01,208.99,45.75
VEGETABLE OILS AND VANASPATI,2000-01,0.0,0.0
"SOAPS, COSMETICS & TOILET PREPARATIONS",2000-01,0.0,0.0
RUBBER GOODS,2000-01,0.46,0.1
"LEATHER,LEATHER GOODS AND PICKERS",2000-01,44.54,9.75
GLUE AND GELATIN,2000-01,0.0,0.0
GLASS,2000-01,154.72,33.87
CERAMICS,2000-01,18.41,4.03
CEMENT AND GYPSUM PRODUCTS,2000-01,309.34,67.72
TIMBER PRODUCTS,2000-01,0.0,0.0
DEFENCE INDUSTRIES,2000-01,0.0,0.0
CONSULTANCY SERVICES,2000-01,19.41,4.25
"SERVICES SECTOR (Fin.,Banking,Insurance,Non Fin/Business,Outsourcing,R&D,Courier,Tech. Testing and Analysis, Other)",2000-01,326.06,71.38
HOSPITAL & DIAGNOSTIC CENTRES,2000-01,0.0,0.0
EDUCATION,2000-01,0.0,0.0
HOTEL & TOURISM,2000-01,60.3,13.2
TRADING,2000-01,52.49,11.49
RETAIL TRADING,2000-01,0.0,0.0
AGRICULTURE SERVICES,2000-01,80.03,17.52
"DIAMOND,GOLD ORNAMENTS",2000-01,86.02,18.83
TEA AND COFFEE (PROCESSING & WAREHOUSING COFFEE & RUBBER),2000-01,92.41,20.23
PRINTING OF BOOKS (INCLUDING LITHO PRINTING INDUSTRY),2000-01,0.0,0.0
COIR,2000-01,0.0,0.0
CONSTRUCTION (INFRASTRUCTURE) ACTIVITIES,2000-01,0.0,0.0
"CONSTRUCTION DEVELOPMENT: Townships, housing, built-up infrastructure and construction-development projects",2000-01,111.14,24.33
MISCELLANEOUS INDUSTRIES,2000-01,3800.9,832.07
METALLURGICAL INDUSTRIES,2001-02,67.43,14.14
MINING,2001-02,31.09,6.52
POWER,2001-02,3612.23,757.44
NON-CONVENTIONAL ENERGY,2001-02,0.0,0.0
COAL PRODUCTION,2001-02,0.0,0.0
PETROLEUM & NATURAL GAS,2001-02,1006.59,211.07
BOILERS AND STEAM GENERATING PLANTS,2001-02,0.0,0.0
PRIME MOVER (OTHER THAN ELECTRICAL GENERATORS),2001-02,0.0,0.0
ELECTRICAL EQUIPMENTS,2001-02,313.61,65.76
COMPUTER SOFTWARE & HARDWARE,2001-02,2000.07,419.39
ELECTRONICS,2001-02,59.47,12.47
TELECOMMUNICATIONS,2001-02,4164.43,873.23
INFORMATION & BROADCASTING (INCLUDING PRINT MEDIA),2001-02,21.65,4.54
AUTOMOBILE INDUSTRY,2001-02,1124.34,235.76
AIR TRANSPORT (INCLUDING AIR FREIGHT),2001-02,0.0,0.0
SEA TRANSPORT,2001-02,94.47,19.81
PORTS,2001-02,73.82,15.48
RAILWAY RELATED COMPONENTS,2001-02,0.0,0.0
INDUSTRIAL MACHINERY,2001-02,152.8,32.04
MACHINE TOOLS,2001-02,20.55,4.31
AGRICULTURAL MACHINERY,2001-02,4.96,1.04
EARTH-MOVING MACHINERY,2001-02,0.52,0.11
MISCELLANEOUS MECHANICAL & ENGINEERING INDUSTRIES,2001-02,292.82,61.4
"COMMERCIAL, OFFICE & HOUSEHOLD EQUIPMENTS",2001-02,23.23,4.87
MEDICAL AND SURGICAL APPLIANCES,2001-02,201.97,42.35
INDUSTRIAL INSTRUMENTS,2001-02,24.18,5.07
SCIENTIFIC INSTRUMENTS,2001-02,11.11,2.33
"MATHEMATICAL,SURVEYING AND DRAWING INSTRUMENTS",2001-02,0.0,0.0
FERTILIZERS,2001-02,0.0,0.0
CHEMICALS (OTHER THAN FERTILIZERS),2001-02,416.0,87.23
PHOTOGRAPHIC RAW FILM AND PAPER,2001-02,0.0,0.0
DYE-STUFFS,2001-02,0.86,0.18
DRUGS & PHARMACEUTICALS,2001-02,371.7,77.94
"TEXTILES (INCLUDING DYED,PRINTED)",2001-02,25.18,5.28
PAPER AND PULP (INCLUDING PAPER PRODUCTS),2001-02,79.64,16.7
SUGAR,2001-02,0.0,0.0
FERMENTATION INDUSTRIES,2001-02,52.65,11.04
FOOD PROCESSING INDUSTRIES,2001-02,1046.27,219.39
VEGETABLE OILS AND VANASPATI,2001-02,0.0,0.0
"SOAPS, COSMETICS & TOILET PREPARATIONS",2001-02,0.0,0.0
RUBBER GOODS,2001-02,221.23,46.39
"LEATHER,LEATHER GOODS AND PICKERS",2001-02,0.95,0.2
GLUE AND GELATIN,2001-02,4.48,0.94
GLASS,2001-02,39.92,8.37
CERAMICS,2001-02,3.72,0.78
CEMENT AND GYPSUM PRODUCTS,2001-02,667.18,139.9
TIMBER PRODUCTS,2001-02,0.24,0.05
DEFENCE INDUSTRIES,2001-02,0.0,0.0
CONSULTANCY SERVICES,2001-02,315.8,66.22
"SERVICES SECTOR (Fin.,Banking,Insurance,Non Fin/Business,Outsourcing,R&D,Courier,Tech. Testing and Analysis, Other)",2001-02,896.33,187.95
HOSPITAL & DIAGNOSTIC CENTRES,2001-02,33.05,6.93
EDUCATION,2001-02,0.0,0.0
HOTEL & TOURISM,2001-02,153.18,32.12
TRADING,2001-02,206.35,43.27
RETAIL TRADING,2001-02,0.0,0.0
AGRICULTURE SERVICES,2001-02,67.05,14.06
"DIAMOND,GOLD ORNAMENTS",2001-02,1.72,0.36
TEA AND COFFEE (PROCESSING & WAREHOUSING COFFEE & RUBBER),2001-02,0.67,0.14
PRINTING OF BOOKS (INCLUDING LITHO PRINTING INDUSTRY),2001-02,0.0,0.0
COIR,2001-02,0.0,0.0
CONSTRUCTION (INFRASTRUCTURE) ACTIVITIES,2001-02,0.0,0.0
"CONSTRUCTION DEVELOPMENT: Townships, housing, built-up infrastructure and construction-development projects",2001-02,246.8,51.75
MISCELLANEOUS INDUSTRIES,2001-02,1055.71,221.37
METALLURGICAL INDUSTRIES,2002-03,177.16,36.61
MINING,2002-03,48.68,10.06
POWER,2002-03,286.03,59.11
NON-CONVENTIONAL ENERGY,2002-03,8.23,1.7
COAL PRODUCTION,2002-03,0.0,0.0
PETROLEUM & NATURAL GAS,2002-03,274.76,56.78
BOILERS AND STEAM GENERATING PLANTS,2002-03,0.0,0.0
PRIME MOVER (OTHER THAN ELECTRICAL GENERATORS),2002-03,0.0,0.0
ELECTRICAL EQUIPMENTS,2002-03,167.96,34.71
COMPUTER SOFTWARE & HARDWARE,2002-03,1520.61,314.24
ELECTRONICS,2002-03,1431.76,295.88
TELECOMMUNICATIONS,2002-03,927.15,191.6
INFORMATION & BROADCASTING (INCLUDING PRINT MEDIA),2002-03,176.62,36.5
AUTOMOBILE INDUSTRY,2002-03,2032.19,419.96
AIR TRANSPORT (INCLUDING AIR FREIGHT),2002-03,18.39,3.8
SEA TRANSPORT,2002-03,141.88,29.32
PORTS,2002-03,9.82,2.03
RAILWAY RELATED COMPONENTS,2002-03,2.71,0.56
INDUSTRIAL MACHINERY,2002-03,93.88,19.4
MACHINE TOOLS,2002-03,68.57,14.17
AGRICULTURAL MACHINERY,2002-03,65.23,13.48
EARTH-MOVING MACHINERY,2002-03,66.63,13.77
MISCELLANEOUS MECHANICAL & ENGINEERING INDUSTRIES,2002-03,218.09,45.07
"COMMERCIAL, OFFICE & HOUSEHOLD EQUIPMENTS",2002-03,11.27,2.33
MEDICAL AND SURGICAL APPLIANCES,2002-03,104.67,21.63
INDUSTRIAL INSTRUMENTS,2002-03,6.34,1.31
SCIENTIFIC INSTRUMENTS,2002-03,0.92,0.19
"MATHEMATICAL,SURVEYING AND DRAWING INSTRUMENTS",2002-03,0.0,0.0
FERTILIZERS,2002-03,79.26,16.38
CHEMICALS (OTHER THAN FERTILIZERS),2002-03,619.97,128.12
PHOTOGRAPHIC RAW FILM AND PAPER,2002-03,2.9,0.6
DYE-STUFFS,2002-03,0.0,0.0
DRUGS & PHARMACEUTICALS,2002-03,193.9,40.07
"TEXTILES (INCLUDING DYED,PRINTED)",2002-03,262.18,54.18
PAPER AND PULP (INCLUDING PAPER PRODUCTS),2002-03,35.62,7.36
SUGAR,2002-03,19.21,3.97
FERMENTATION INDUSTRIES,2002-03,39.05,8.07
FOOD PROCESSING INDUSTRIES,2002-03,178.46,36.88
VEGETABLE OILS AND VANASPATI,2002-03,0.0,0.0
"SOAPS, COSMETICS & TOILET PREPARATIONS",2002-03,0.0,0.0
RUBBER GOODS,2002-03,79.46,16.42
"LEATHER,LEATHER GOODS AND PICKERS",2002-03,0.05,0.01
GLUE AND GELATIN,2002-03,25.26,5.22
GLASS,2002-03,217.66,44.98
CERAMICS,2002-03,1.02,0.21
CEMENT AND GYPSUM PRODUCTS,2002-03,102.01,21.08
TIMBER PRODUCTS,2002-03,0.19,0.04
DEFENCE INDUSTRIES,2002-03,0.0,0.0
CONSULTANCY SERVICES,2002-03,124.36,25.7
"SERVICES SECTOR (Fin.,Banking,Insurance,Non Fin/Business,Outsourcing,R&D,Courier,Tech. Testing and Analysis, Other)",2002-03,1433.99,296.34
HOSPITAL & DIAGNOSTIC CENTRES,2002-03,140.96,29.13
EDUCATION,2002-03,0.0,0.0
HOTEL & TOURISM,2002-03,163.32,33.75
TRADING,2002-03,184.51,38.13
RETAIL TRADING,2002-03,0.0,0.0
AGRICULTURE SERVICES,2002-03,53.28,11.01
"DIAMOND,GOLD ORNAMENTS",2002-03,6.29,1.3
TEA AND COFFEE (PROCESSING & WAREHOUSING COFFEE & RUBBER),2002-03,0.0,0.0
PRINTING OF BOOKS (INCLUDING LITHO PRINTING INDUSTRY),2002-03,30.49,6.3
COIR,2002-03,0.0,0.0
CONSTRUCTION (INFRASTRUCTURE) ACTIVITIES,2002-03,0.0,0.0
"CONSTRUCTION DEVELOPMENT: Townships, housing, built-up infrastructure and construction-development projects",2002-03,174.69,36.1
MISCELLANEOUS INDUSTRIES,2002-03,1058.58,218.76
METALLURGICAL INDUSTRIES,2003-04,37.27,8.11
MINING,2003-04,107.89,23.48
POWER,2003-04,124.48,27.09
NON-CONVENTIONAL ENERGY,2003-04,19.02,4.14
COAL PRODUCTION,2003-04,0.18,0.04
PETROLEUM & NATURAL GAS,2003-04,370.54,80.64
BOILERS AND STEAM GENERATING PLANTS,2003-04,0.18,0.04
PRIME MOVER (OTHER THAN ELECTRICAL GENERATORS),2003-04,0.0,0.0
ELECTRICAL EQUIPMENTS,2003-04,336.35,73.2
COMPUTER SOFTWARE & HARDWARE,2003-04,1692.43,368.32
ELECTRONICS,2003-04,378.21,82.31
TELECOMMUNICATIONS,2003-04,397.42,86.49
INFORMATION & BROADCASTING (INCLUDING PRINT MEDIA),2003-04,63.04,13.72
AUTOMOBILE INDUSTRY,2003-04,547.22,119.09
AIR TRANSPORT (INCLUDING AIR FREIGHT),2003-04,4.32,0.94
SEA TRANSPORT,2003-04,100.86,21.95
PORTS,2003-04,534.67,116.36
RAILWAY RELATED COMPONENTS,2003-04,13.56,2.95
INDUSTRIAL MACHINERY,2003-04,14.61,3.18
MACHINE TOOLS,2003-04,250.47,54.51
AGRICULTURAL MACHINERY,2003-04,218.45,47.54
EARTH-MOVING MACHINERY,2003-04,0.05,0.01
MISCELLANEOUS MECHANICAL & ENGINEERING INDUSTRIES,2003-04,104.44,22.73
